tea,brewing_amount(g),brewing_volume(ml),brewing_temp(F),brewing_time(minutes),price_per_oz($),type,location,imgUrl
gold thread reserve,3.5,177,200,1.5,13,red,yunnan_china,http://www.redblossomtea.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/goldthreadreserve_15.11.19_1.jpg
organic golden monkey,3.5,177,200,1,3.5,red,wuyi shan_fujian_china,http://www.redblossomtea.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/-/b-112-1.jpg
wild leaf sheng puerh 1998,4,177,212,2,15,puerh,yunnan_china,http://www.redblossomtea.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/-/p-205-1.jpg
emperor puerh 1998,4,177,212,1,11.5,puerh,yunnan_china,http://www.redblossomtea.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/-/p-300-1.jpg
jasmine mao jian,3.5,177,185,1.5,2.63,scented,fujian_china,http://www.redblossomtea.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/j/-/j-160-1.jpg
rose black,3.5,177,205,1,3,scented,guangdong_china,http://www.redblossomtea.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/a/ba-105-1.jpg
dragon pearl jasmine supreme,3.5,177,195,1,10,scented,fujian_china,http://www.redblossomtea.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/j/-/j-101-1.jpg
organic dragon pearl jasmine,3.5,177,195,1,6.25,scented,fujian_china,http://www.redblossomtea.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/j/-/j-100-1.jpg
tung ting ginseng,5,177,200,1.5,8.5,oolong,taiwan,http://www.redblossomtea.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/o/f/ofa-105-1.jpg
lychee black,3.5,177,205,1,3,scented,guangdong_china,http://www.redblossomtea.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/a/ba-100-1.jpg
